
Entrez Gene Id	Gene Symbol	Gene Description	RPS14_DN.V1_DN	PRC2_EED_UP.V1_DN	PRC2_EZH2_UP.V1_DN	RB_P107_DN.V1_DN	ESC_V6.5_UP_EARLY.V1_DN	ESC_V6.5_UP_LATE.V1_DN	E2F1_UP.V1_UP	ERBB2_UP.V1_UP	PIGF_UP.V1_UP	TBK1.DF_DN	CAHOY_ASTROGLIAL	RB_P107_DN.V1_UP	CRX_DN.V1_DN	CRX_NRL_DN.V1_UP	ESC_J1_UP_LATE.V1_DN	AKT_UP.V1_UP	MTOR_UP.V1_UP	ESC_J1_UP_EARLY.V1_DN	JAK2_DN.V1_UP	E2F1_UP.V1_DN	RAPA_EARLY_UP.V1_DN	EGFR_UP.V1_UP	RAF_UP.V1_UP	VEGF_A_UP.V1_DN	MEK_UP.V1_UP	CAMP_UP.V1_UP	KRAS.600_UP.V1_DN
55222	LRRC20	leucine rich repeat containing 20 [Source:HGNC Symbol;Acc:HGNC:23421]	RPS14_DN.V1_DN	PRC2_EED_UP.V1_DN	PRC2_EZH2_UP.V1_DN																								
5347	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	RPS14_DN.V1_DN	PRC2_EED_UP.V1_DN																									
23397	NCAPH	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]	RPS14_DN.V1_DN		PRC2_EZH2_UP.V1_DN				E2F1_UP.V1_UP					RB_P107_DN.V1_UP									RAPA_EARLY_UP.V1_DN						
5118	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]	RPS14_DN.V1_DN				ESC_V6.5_UP_EARLY.V1_DN	ESC_V6.5_UP_LATE.V1_DN						RB_P107_DN.V1_UP	CRX_DN.V1_DN	CRX_NRL_DN.V1_UP	ESC_J1_UP_LATE.V1_DN												
9700	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	RPS14_DN.V1_DN																										
3070	HELLS	helicase, lymphoid specific [Source:HGNC Symbol;Acc:HGNC:4861]		PRC2_EED_UP.V1_DN	PRC2_EZH2_UP.V1_DN														MTOR_UP.V1_UP										
29763	PACSIN3	protein kinase C and casein kinase substrate in neurons 3 [Source:HGNC Symbol;Acc:HGNC:8572]		PRC2_EED_UP.V1_DN						ERBB2_UP.V1_UP								AKT_UP.V1_UP									MEK_UP.V1_UP		
5905	RANGAP1	Ran GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9854]		PRC2_EED_UP.V1_DN																	JAK2_DN.V1_UP								
5106	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]			PRC2_EZH2_UP.V1_DN																								
