
Entrez Gene Id	Gene Symbol	Gene Description	GO_RNA_BINDING	GO_CADHERIN_BINDING	GO_TRNA_BINDING	GO_CELL_ADHESION_MOLECULE_BINDING	GO_PROTON_EXPORTING_ATPASE_ACTIVITY_PHOSPHORYLATIVE_MECHANISM	GO_RIBONUCLEOTIDE_BINDING	GO_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA	GO_ADENYL_NUCLEOTIDE_BINDING	GO_PYROPHOSPHATE_HYDROLYSIS_DRIVEN_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY_PHOSPHORYLATIVE_MECHANISM	GO_LIGASE_ACTIVITY	GO_PHOSPHOTRANSFERASE_ACTIVITY_PHOSPHATE_GROUP_AS_ACCEPTOR	GO_LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS	GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	GO_ATPASE_COUPLED_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_G_PROTEIN_COUPLED_RECEPTOR_BINDING	GO_GTPASE_REGULATOR_ACTIVITY	GO_SIGNALING_RECEPTOR_BINDING	GO_PROTEIN_DOMAIN_SPECIFIC_BINDING	GO_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY	GO_KINASE_BINDING	GO_PRIMARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_PROTEIN_CONTAINING_COMPLEX_BINDING	GO_CATALYTIC_ACTIVITY_ACTING_ON_RNA	GO_UNFOLDED_PROTEIN_BINDING	GO_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ATPASE_ACTIVITY	GO_MOTOR_ACTIVITY	GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ACTIN_BINDING	GO_DIVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_CYTOSKELETAL_PROTEIN_BINDING	GO_RAB_GTPASE_BINDING	GO_ENZYME_ACTIVATOR_ACTIVITY	GO_GTPASE_BINDING	GO_ENZYME_REGULATOR_ACTIVITY	GO_ACTIN_FILAMENT_BINDING	GO_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_STRUCTURAL_MOLECULE_ACTIVITY
3312	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	GO_RNA_BINDING	GO_CADHERIN_BINDING		GO_CELL_ADHESION_MOLECULE_BINDING		GO_RIBONUCLEOTIDE_BINDING		GO_ADENYL_NUCLEOTIDE_BINDING						GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES		GO_G_PROTEIN_COUPLED_RECEPTOR_BINDING		GO_SIGNALING_RECEPTOR_BINDING	GO_PROTEIN_DOMAIN_SPECIFIC_BINDING				GO_PROTEIN_CONTAINING_COMPLEX_BINDING		GO_UNFOLDED_PROTEIN_BINDING		GO_ATPASE_ACTIVITY														
5339	PLEC	plectin [Source:HGNC Symbol;Acc:HGNC:9069]	GO_RNA_BINDING	GO_CADHERIN_BINDING		GO_CELL_ADHESION_MOLECULE_BINDING																										GO_ACTIN_BINDING		GO_CYTOSKELETAL_PROTEIN_BINDING									GO_STRUCTURAL_MOLECULE_ACTIVITY
1399	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]	GO_RNA_BINDING	GO_CADHERIN_BINDING		GO_CELL_ADHESION_MOLECULE_BINDING																																					
833	CARS1	cysteinyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:1493]	GO_RNA_BINDING		GO_TRNA_BINDING			GO_RIBONUCLEOTIDE_BINDING	GO_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA	GO_ADENYL_NUCLEOTIDE_BINDING			GO_LIGASE_ACTIVITY		GO_LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS											GO_CATALYTIC_ACTIVITY_ACTING_ON_RNA																	
4141	MARS1	methionyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6898]	GO_RNA_BINDING		GO_TRNA_BINDING			GO_RIBONUCLEOTIDE_BINDING	GO_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA	GO_ADENYL_NUCLEOTIDE_BINDING			GO_LIGASE_ACTIVITY		GO_LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS											GO_CATALYTIC_ACTIVITY_ACTING_ON_RNA																	
1915	EEF1A1	eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]	GO_RNA_BINDING		GO_TRNA_BINDING			GO_RIBONUCLEOTIDE_BINDING								GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES							GO_KINASE_BINDING																				
8802	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:HGNC Symbol;Acc:HGNC:11449]	GO_RNA_BINDING										GO_LIGASE_ACTIVITY																														
2665	GDI2	GDP dissociation inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:4227]	GO_RNA_BINDING																GO_GTPASE_REGULATOR_ACTIVITY			GO_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY													GO_RAB_GTPASE_BINDING	GO_ENZYME_ACTIVATOR_ACTIVITY	GO_GTPASE_BINDING	GO_ENZYME_REGULATOR_ACTIVITY					
1213	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	GO_RNA_BINDING																	GO_SIGNALING_RECEPTOR_BINDING	GO_PROTEIN_DOMAIN_SPECIFIC_BINDING		GO_KINASE_BINDING																				GO_STRUCTURAL_MOLECULE_ACTIVITY
