
Entrez Gene Id	Gene Symbol	Gene Description	GO_RNA_BINDING	GO_CADHERIN_BINDING	GO_RIBONUCLEOTIDE_BINDING	GO_LIGASE_ACTIVITY	GO_CELL_ADHESION_MOLECULE_BINDING	GO_PROTEIN_CONTAINING_COMPLEX_BINDING	GO_ADENYL_NUCLEOTIDE_BINDING	GO_PROTEIN_DOMAIN_SPECIFIC_BINDING	GO_TRNA_BINDING	GO_S100_PROTEIN_BINDING	GO_PROTON_EXPORTING_ATPASE_ACTIVITY_PHOSPHORYLATIVE_MECHANISM	GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	GO_ATPASE_ACTIVITY	GO_PROTEIN_FOLDING_CHAPERONE	GO_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA	GO_SIGNALING_RECEPTOR_BINDING	GO_ACID_THIOL_LIGASE_ACTIVITY	GO_PYROPHOSPHATE_HYDROLYSIS_DRIVEN_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_KINASE_BINDING	GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY_PHOSPHORYLATIVE_MECHANISM	GO_ENZYME_REGULATOR_ACTIVITY	GO_ENZYME_ACTIVATOR_ACTIVITY	GO_DISORDERED_DOMAIN_SPECIFIC_BINDING	GO_LIGASE_ACTIVITY_FORMING_CARBON_SULFUR_BONDS	GO_PHOSPHOTRANSFERASE_ACTIVITY_PHOSPHATE_GROUP_AS_ACCEPTOR	GO_ISOMERASE_ACTIVITY	GO_LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS	GO_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY	GO_TRANSFERASE_ACTIVITY_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS	GO_IDENTICAL_PROTEIN_BINDING	GO_CATALYTIC_ACTIVITY_ACTING_ON_RNA	GO_ATPASE_COUPLED_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_CELL_ADHESION_MEDIATOR_ACTIVITY	GO_STRUCTURAL_MOLECULE_ACTIVITY	GO_KINASE_ACTIVITY	GO_CALCIUM_DEPENDENT_PROTEIN_BINDING	GO_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	GO_G_PROTEIN_COUPLED_RECEPTOR_BINDING	GO_GTPASE_REGULATOR_ACTIVITY	GO_PRIMARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_TRANSLATION_REGULATOR_ACTIVITY_NUCLEIC_ACID_BINDING	GO_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	GO_CHROMATIN_BINDING	GO_UNFOLDED_PROTEIN_BINDING	GO_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_CH_OH_GROUP_OF_DONORS	GO_TRANSCRIPTION_FACTOR_BINDING	GO_CYTOSKELETAL_PROTEIN_BINDING	GO_MOTOR_ACTIVITY	GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_CYSTEINE_TYPE_PEPTIDASE_ACTIVITY	GO_TRANSLATION_REGULATOR_ACTIVITY	GO_CALCIUM_ION_BINDING	GO_HELICASE_ACTIVITY	GO_DIVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_RAB_GTPASE_BINDING	GO_ACTIN_BINDING	GO_PHOSPHOLIPID_BINDING	GO_LYASE_ACTIVITY
3312	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	GO_RNA_BINDING	GO_CADHERIN_BINDING	GO_RIBONUCLEOTIDE_BINDING		GO_CELL_ADHESION_MOLECULE_BINDING	GO_PROTEIN_CONTAINING_COMPLEX_BINDING	GO_ADENYL_NUCLEOTIDE_BINDING	GO_PROTEIN_DOMAIN_SPECIFIC_BINDING				GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES		GO_ATPASE_ACTIVITY	GO_PROTEIN_FOLDING_CHAPERONE		GO_SIGNALING_RECEPTOR_BINDING																						GO_G_PROTEIN_COUPLED_RECEPTOR_BINDING						GO_UNFOLDED_PROTEIN_BINDING														GO_PHOSPHOLIPID_BINDING	
301	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	GO_RNA_BINDING	GO_CADHERIN_BINDING			GO_CELL_ADHESION_MOLECULE_BINDING							GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	GO_ATPASE_ACTIVITY			GO_SIGNALING_RECEPTOR_BINDING					GO_ENZYME_REGULATOR_ACTIVITY									GO_IDENTICAL_PROTEIN_BINDING			GO_CELL_ADHESION_MEDIATOR_ACTIVITY			GO_CALCIUM_DEPENDENT_PROTEIN_BINDING																	GO_CALCIUM_ION_BINDING	GO_HELICASE_ACTIVITY				GO_PHOSPHOLIPID_BINDING	
1399	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]	GO_RNA_BINDING	GO_CADHERIN_BINDING			GO_CELL_ADHESION_MOLECULE_BINDING																										GO_IDENTICAL_PROTEIN_BINDING																													
5339	PLEC	plectin [Source:HGNC Symbol;Acc:HGNC:9069]	GO_RNA_BINDING	GO_CADHERIN_BINDING			GO_CELL_ADHESION_MOLECULE_BINDING																														GO_STRUCTURAL_MOLECULE_ACTIVITY														GO_CYTOSKELETAL_PROTEIN_BINDING									GO_ACTIN_BINDING		
833	CARS1	cysteinyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:1493]	GO_RNA_BINDING		GO_RIBONUCLEOTIDE_BINDING	GO_LIGASE_ACTIVITY			GO_ADENYL_NUCLEOTIDE_BINDING		GO_TRNA_BINDING							GO_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA												GO_LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS			GO_IDENTICAL_PROTEIN_BINDING	GO_CATALYTIC_ACTIVITY_ACTING_ON_RNA																												
4141	MARS1	methionyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6898]	GO_RNA_BINDING		GO_RIBONUCLEOTIDE_BINDING	GO_LIGASE_ACTIVITY			GO_ADENYL_NUCLEOTIDE_BINDING		GO_TRNA_BINDING							GO_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA												GO_LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS				GO_CATALYTIC_ACTIVITY_ACTING_ON_RNA																												
1915	EEF1A1	eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]	GO_RNA_BINDING		GO_RIBONUCLEOTIDE_BINDING						GO_TRNA_BINDING			GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES								GO_KINASE_BINDING																		GO_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING				GO_TRANSLATION_REGULATOR_ACTIVITY_NUCLEIC_ACID_BINDING											GO_TRANSLATION_REGULATOR_ACTIVITY							
8802	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:HGNC Symbol;Acc:HGNC:11449]	GO_RNA_BINDING			GO_LIGASE_ACTIVITY														GO_ACID_THIOL_LIGASE_ACTIVITY							GO_LIGASE_ACTIVITY_FORMING_CARBON_SULFUR_BONDS																																			
1213	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	GO_RNA_BINDING							GO_PROTEIN_DOMAIN_SPECIFIC_BINDING									GO_SIGNALING_RECEPTOR_BINDING			GO_KINASE_BINDING				GO_DISORDERED_DOMAIN_SPECIFIC_BINDING											GO_STRUCTURAL_MOLECULE_ACTIVITY																									
