
Entrez Gene Id	Gene Symbol	Gene Description	GO_CELL_CORTEX	GO_ACTIN_CYTOSKELETON	GO_CELL_BODY	GO_NUCLEAR_BODY	GO_SOMATODENDRITIC_COMPARTMENT	GO_ACTIN_FILAMENT_BUNDLE	GO_NEUROMUSCULAR_JUNCTION	GO_ACTOMYOSIN	GO_CELL_SUBSTRATE_JUNCTION	GO_BRUSH_BORDER	GO_SYNAPSE	GO_I_BAND	GO_POSTSYNAPSE	GO_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS	GO_SITE_OF_POLARIZED_GROWTH	GO_ANCHORING_JUNCTION	GO_CONTRACTILE_FIBER	GO_SUPRAMOLECULAR_POLYMER	GO_DISTAL_AXON	GO_GLUTAMATERGIC_SYNAPSE	GO_NUCLEAR_SPECK	GO_SUPRAMOLECULAR_COMPLEX	GO_NEURON_PROJECTION	GO_DENDRITIC_TREE	GO_AXON	GO_PERINUCLEAR_REGION_OF_CYTOPLASM	GO_RIBONUCLEOPROTEIN_COMPLEX
4628	MYH10	myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]	GO_CELL_CORTEX	GO_ACTIN_CYTOSKELETON	GO_CELL_BODY		GO_SOMATODENDRITIC_COMPARTMENT	GO_ACTIN_FILAMENT_BUNDLE	GO_NEUROMUSCULAR_JUNCTION	GO_ACTOMYOSIN		GO_BRUSH_BORDER	GO_SYNAPSE		GO_POSTSYNAPSE	GO_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS	GO_SITE_OF_POLARIZED_GROWTH			GO_SUPRAMOLECULAR_POLYMER	GO_DISTAL_AXON	GO_GLUTAMATERGIC_SYNAPSE		GO_SUPRAMOLECULAR_COMPLEX	GO_NEURON_PROJECTION	GO_DENDRITIC_TREE	GO_AXON		GO_RIBONUCLEOPROTEIN_COMPLEX
2317	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]	GO_CELL_CORTEX	GO_ACTIN_CYTOSKELETON	GO_CELL_BODY		GO_SOMATODENDRITIC_COMPARTMENT	GO_ACTIN_FILAMENT_BUNDLE		GO_ACTOMYOSIN	GO_CELL_SUBSTRATE_JUNCTION	GO_BRUSH_BORDER		GO_I_BAND		GO_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS		GO_ANCHORING_JUNCTION	GO_CONTRACTILE_FIBER	GO_SUPRAMOLECULAR_POLYMER				GO_SUPRAMOLECULAR_COMPLEX	GO_NEURON_PROJECTION				
2316	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	GO_CELL_CORTEX	GO_ACTIN_CYTOSKELETON	GO_CELL_BODY		GO_SOMATODENDRITIC_COMPARTMENT				GO_CELL_SUBSTRATE_JUNCTION		GO_SYNAPSE	GO_I_BAND	GO_POSTSYNAPSE		GO_SITE_OF_POLARIZED_GROWTH	GO_ANCHORING_JUNCTION	GO_CONTRACTILE_FIBER	GO_SUPRAMOLECULAR_POLYMER	GO_DISTAL_AXON	GO_GLUTAMATERGIC_SYNAPSE		GO_SUPRAMOLECULAR_COMPLEX	GO_NEURON_PROJECTION	GO_DENDRITIC_TREE	GO_AXON	GO_PERINUCLEAR_REGION_OF_CYTOPLASM	
9590	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]	GO_CELL_CORTEX		GO_CELL_BODY		GO_SOMATODENDRITIC_COMPARTMENT				GO_CELL_SUBSTRATE_JUNCTION		GO_SYNAPSE					GO_ANCHORING_JUNCTION											
2634	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]		GO_ACTIN_CYTOSKELETON																								GO_PERINUCLEAR_REGION_OF_CYTOPLASM	
54890	ALKBH5	alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]				GO_NUCLEAR_BODY																	GO_NUCLEAR_SPECK						
23464	GCAT	glycine C-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:4188]				GO_NUCLEAR_BODY																	GO_NUCLEAR_SPECK						
1939	EIF2D	eukaryotic translation initiation factor 2D [Source:HGNC Symbol;Acc:HGNC:6583]				GO_NUCLEAR_BODY																							GO_RIBONUCLEOPROTEIN_COMPLEX
7874	USP7	ubiquitin specific peptidase 7 [Source:HGNC Symbol;Acc:HGNC:12630]				GO_NUCLEAR_BODY																							
1399	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]							GO_NEUROMUSCULAR_JUNCTION				GO_SYNAPSE		GO_POSTSYNAPSE														
23347	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29090]																											
47	ACLY	ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]																											
27143	PALD1	phosphatase domain containing paladin 1 [Source:HGNC Symbol;Acc:HGNC:23530]																											
9208	LRRFIP1	LRR binding FLII interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6702]																											
