
Entrez Gene Id	Gene Symbol	Gene Description	MODULE_12	MODULE_306	MODULE_212	MODULE_1	MODULE_6	MODULE_87	MODULE_52	MODULE_324	MODULE_17	MODULE_2	MODULE_3	MODULE_60	MODULE_486	MODULE_5	MODULE_18	MODULE_24	MODULE_38	MODULE_152	MODULE_72	MODULE_83	MODULE_257	MODULE_277	MODULE_118	MODULE_105	MODULE_32	MODULE_411	MODULE_235	MODULE_341	MODULE_55	MODULE_88	MODULE_124	MODULE_84	MODULE_43	MODULE_177	MODULE_45	MODULE_321	MODULE_44	MODULE_397	MODULE_248	MODULE_244	MODULE_16	MODULE_47	MODULE_11	MODULE_100	MODULE_137	MODULE_66	MODULE_23	MODULE_54	MODULE_151	MODULE_114	MODULE_15	MODULE_33
1809	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]	MODULE_12		MODULE_212	MODULE_1	MODULE_6		MODULE_52			MODULE_2	MODULE_3			MODULE_5									MODULE_118																			MODULE_47	MODULE_11	MODULE_100	MODULE_137	MODULE_66						
23770	FKBP8	FKBP prolyl isomerase 8 [Source:HGNC Symbol;Acc:HGNC:3724]	MODULE_12		MODULE_212		MODULE_6				MODULE_17			MODULE_60	MODULE_486			MODULE_24			MODULE_72		MODULE_257																		MODULE_248													
6282	S100A11	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]	MODULE_12			MODULE_1	MODULE_6		MODULE_52	MODULE_324	MODULE_17	MODULE_2	MODULE_3	MODULE_60		MODULE_5	MODULE_18		MODULE_38						MODULE_118			MODULE_411		MODULE_341	MODULE_55	MODULE_88		MODULE_84			MODULE_45		MODULE_44				MODULE_16											
301	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	MODULE_12			MODULE_1	MODULE_6		MODULE_52	MODULE_324	MODULE_17	MODULE_2	MODULE_3			MODULE_5	MODULE_18		MODULE_38						MODULE_118	MODULE_105			MODULE_235					MODULE_84			MODULE_45						MODULE_16										MODULE_15	
5118	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]	MODULE_12			MODULE_1	MODULE_6		MODULE_52			MODULE_2		MODULE_60		MODULE_5	MODULE_18	MODULE_24	MODULE_38		MODULE_72										MODULE_55	MODULE_88		MODULE_84			MODULE_45							MODULE_47					MODULE_23				MODULE_15	MODULE_33
5339	PLEC	plectin [Source:HGNC Symbol;Acc:HGNC:9069]	MODULE_12			MODULE_1	MODULE_6		MODULE_52			MODULE_2		MODULE_60		MODULE_5	MODULE_18	MODULE_24	MODULE_38												MODULE_55	MODULE_88		MODULE_84					MODULE_44															
9770	RASSF2	Ras association domain family member 2 [Source:HGNC Symbol;Acc:HGNC:9883]	MODULE_12			MODULE_1															MODULE_72																MODULE_45		MODULE_44				MODULE_16		MODULE_11	MODULE_100	MODULE_137	MODULE_66						
5106	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]		MODULE_306	MODULE_212			MODULE_87										MODULE_24		MODULE_152											MODULE_55	MODULE_88																	MODULE_23					
8802	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:HGNC Symbol;Acc:HGNC:11449]		MODULE_306	MODULE_212			MODULE_87												MODULE_152							MODULE_32								MODULE_43																			
