
Entrez Gene Id	Gene Symbol	Gene Description	KEGG_RIBOSOME	KEGG_HUNTINGTONS_DISEASE
6135	RPL11	ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]	KEGG_RIBOSOME	
6228	RPS23	ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]	KEGG_RIBOSOME	
291	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]		KEGG_HUNTINGTONS_DISEASE
6667	SP1	Sp1 transcription factor [Source:HGNC Symbol;Acc:HGNC:11205]		KEGG_HUNTINGTONS_DISEASE
2316	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]		
10051	SMC4	structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]		
10985	GCN1	GCN1 activator of EIF2AK4 [Source:HGNC Symbol;Acc:HGNC:4199]		
23256	SCFD1	sec1 family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20726]		
307	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]		
79902	NUP85	nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]		
9590	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]		
